Tm,RA/G,H9,BB9,SO9
ARI,5.04,9.3,3.1,7.7
ATL,3.10,7.9,2.6,8.8
CHC,4.00,8.1,3.2,8.0
CIN,3.75,7.9,3.2,7.8
COL,4.31,8.5,3.2,6.6
LAD,4.16,8.5,3.3,8.4
MIA,4.22,8.9,3.1,8.0
MIL,3.67,8.2,2.7,8.0
NYM,4.18,8.5,3.5,7.7
PHI,4.66,9.3,3.3,7.8
PIT,4.35,8.8,3.1,7.1
SDP,3.55,8.2,2.7,7.9
SFG,3.39,8.1,2.5,7.7
STL,3.38,7.8,2.8,8.5
WSN,3.82,8.6,2.7,8.3
