Tm,R/G,BA,OBP,SLG
ARI,3.73,.248,.301,.386
ATL,3.39,.235,.296,.380
CHC,3.88,.232,.299,.365
CIN,3.50,.242,.309,.372
COL,5.14,.292,.339,.477
LAD,4.29,.260,.326,.418
MIA,4.61,.262,.330,.417
MIL,3.90,.251,.307,.401
NYM,3.92,.237,.310,.352
PHI,3.89,.243,.313,.375
PIT,3.88,.249,.321,.380
SDP,3.14,.221,.278,.348
SFG,4.22,.245,.310,.411
STL,3.86,.257,.326,.368
WSN,3.92,.245,.313,.381
