Tm,RA/G,H9,BB9,SO9
BAL,4.35,9.2,3.2,7.0
BOS,4.53,9.4,3.1,8.1
CHW,5.06,8.9,4.2,6.9
CLE,4.78,8.9,3.6,8.8
DET,4.15,8.7,3.0,7.8
HOU,4.73,9.0,3.4,7.5
KCR,3.92,8.4,2.7,7.5
LAA,3.96,7.4,3.4,8.1
MIN,4.83,9.5,3.0,6.1
NYY,4.43,9.0,2.6,8.9
OAK,3.16,7.4,2.8,7.5
SEA,3.92,8.1,3.1,7.5
TBR,4.29,8.3,3.4,8.1
TEX,4.64,9.6,3.4,7.3
TOR,4.37,8.9,3.8,7.6
