Tm,R/G,BA,OBP,SLG
BAL,4.23,.265,.317,.403
BOS,3.98,.240,.324,.372
CHW,4.75,.261,.323,.410
CLE,4.41,.252,.331,.396
DET,4.78,.278,.332,.433
HOU,3.63,.232,.302,.383
KCR,3.92,.254,.309,.353
LAA,4.92,.256,.326,.422
MIN,4.38,.243,.325,.369
NYY,4.31,.259,.322,.401
OAK,4.96,.249,.335,.405
SEA,4.10,.234,.297,.366
TBR,3.94,.246,.320,.365
TEX,4.32,.267,.335,.393
TOR,4.82,.258,.328,.442
